h_neuron_count,layer,signed_cosine_ci_lower,signed_cosine_ci_upper,signed_cosine_mean,signed_cosine_null_mean,signed_cosine_null_p95,subspace_fraction_ci_lower,subspace_fraction_ci_upper,subspace_fraction_mean,subspace_fraction_null_mean,subspace_fraction_null_p95
2,0,-0.010451357667210202,-0.010433712619636208,-0.010442577150960763,-0.0005977536007412709,0.022330999840050932,0.0002538796581934245,0.00025407894894936665,0.0002539774802668641,0.0006792141024288867,0.002186677628196774
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.00630494781799304,0.006304948358796537,0.006304948093059162,0.0026378957725592045,0.028188517782837146,0.014689010532557343,0.014689012921725711,0.014689011719077825,0.0013217820514728374,0.005378371849656105
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,-0.033984376343898476,-0.03398001058250665,-0.033982142060995105,0.003387631250807317,0.020493354368954896,0.0012870751863209686,0.00128740851059556,0.001287243078229949,0.000897904870507773,0.0020497345365583885
4,5,0.0022036925909175694,0.0023537499451207243,0.002279154823848785,0.0035994509744341485,0.037401806376874444,0.00014408767851491574,0.0001590780223304743,0.00015150981751988488,0.001202900402386149,0.0034485836164094494
2,6,-0.0075683421178274635,-0.007441089663285917,-0.007505175846551235,-0.00016902955685509368,0.041431680321693413,0.0006840437267962746,0.0007298891529550019,0.0007068927699341051,0.0019390688749263063,0.007624236145056783
3,7,0.12069274275662999,0.12105819181613624,0.12087516254683335,-0.0008821857505245134,0.026028880756348356,0.01680705149434507,0.016878707234654577,0.01684342697262764,0.0013859666550706607,0.0032913438393734383
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.003917800423370985,0.00457249928995346,0.0042503458984817066,0.002061751152505167,0.03197936192154884,0.001629556961900865,0.0016295571558487911,0.001629557059534515,0.0016399787041154923,0.004394737281836563
2,10,-0.039352193379312665,-0.03735385303788159,-0.03837554214839474,0.0024473333697642373,0.044563699513673775,0.002629457207355881,0.002703707378737939,0.0026660664530160525,0.004714218967856141,0.007273574336431907
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,0.06695700420935949,0.06695700664830705,0.06695700544615586,-0.0008504620465100743,0.039002621918916694,0.007899314848690603,0.00789931596692962,0.007899315417433779,0.0029035551404922445,0.007589907990768551
2,13,0.02349834247312198,0.023500156754565737,0.023499272170166174,0.001356356882970431,0.03622254934161901,0.002157108151074499,0.002167542313807644,0.002162340613392492,0.0023060632190026807,0.0053261111723259084
2,14,0.013756316648703068,0.01382605488517632,0.013791308145349224,-0.0023354230968107,0.021210842952132224,0.001990297876044254,0.00199350684476085,0.0019919332372179874,0.0020572768805141094,0.006000746553763744
2,15,0.03391958056757382,0.034873825763722804,0.03439466263198604,-0.004252930295479018,0.036873507872223855,0.0043140583932011695,0.004425972739960222,0.004369183423773696,0.00400263017276302,0.009862886695191263
2,16,0.043073544753404955,0.043091145533323286,0.04308223790427049,0.0023465451181982643,0.042590146511793124,0.0048611987701461966,0.004866281600079189,0.004863744274402658,0.0039030794506834353,0.011856831517070529
0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20,-0.0012666654250894985,0.002435894948244095,0.0005846149548888207,-0.0006767082441843983,0.02966833962127564,0.0047767428637792665,0.004776743715939422,0.004776743295602501,0.0027724051047698594,0.008055834239348768
0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23,-0.04230685370179514,-0.04230684985462576,-0.04230685175706943,-0.001729250590506126,0.01675218092277646,0.012003049338205406,0.012003051234424736,0.012003050293773413,0.002264845072932076,0.00676326819229871
1,24,0.011691307986605292,0.011833499476360159,0.01177030322700739,0.0012566116295784013,0.03275888506323099,0.0004191585313310498,0.0004191585891147649,0.0004191585597970212,0.002934026026487118,0.009703413862735034
1,25,-0.03400798540065686,-0.03400798454626153,-0.034007984975973765,0.0013493257563641236,0.017136788275092834,0.0017678513646436234,0.0017678516786564919,0.0017678515218043078,0.00335190507437801,0.010018909676000476
1,26,-0.020319182301623127,-0.01780027503333986,-0.01905972896764676,0.00011479479646368418,0.0250837292522192,0.0050632459210852784,0.00506324680428952,0.0050632463690514365,0.002882720045599854,0.00807697088457644
1,27,0.010042451331376408,0.01004245243036809,0.010042451881493131,0.0003911603378764994,0.01614333866164088,0.003565669201935331,0.003565669957237939,0.003565669582535823,0.0033513375888287555,0.008420595107600092
1,28,-0.014323337416475018,-0.014323336826000984,-0.014323337120935321,0.000988928865554044,0.014144392963498821,0.010824670819488043,0.010824673348463452,0.01082467208740612,0.0019771064407541417,0.005065089254640041
0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,0.012494371047196908,0.012494372379655639,0.012494371718416612,0.0007895580933836755,0.014912785030901418,0.0027725240521326968,0.0027725245642165343,0.0027725243107415737,0.0014148107941855414,0.004718600027263165
2,31,0.007505692520885107,0.007508850869854602,0.007507233296210567,0.0003014518361305818,0.020020424854010337,9.01372840446129e-05,9.037450195064594e-05,9.02543275296921e-05,0.001147952955652727,0.0021286232047714286
0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33,-0.5187347724437713,-0.5187347448269526,-0.5187347587744395,-1.3866297704225872e-05,0.02150376765057444,0.6658493899901708,0.6658495028018951,0.6658494464159012,0.0011170960430172273,0.002736393944360316
